name,lng,lat,address
忆念奶茶,104.606615,30.281954,简阳市广成线长鸿幼儿园东南侧约270米
奶茶冰粉,103.433399,30.54086,成都市大邑县清源街新场镇
沫沫奶茶,103.699066,30.637779,四川省成都市崇州市唐人街二段50号
小特家奶茶,104.081331,30.512053,成都市双流区悦和二街中德·英伦城邦-K区
茶香御奶茶,104.061663,30.382518,成都市双流区刘煎路煎茶中学西南侧约30米
素允奶茶店,104.066091,30.758667,四川省成都市新都区南丰大道135号
现捞&奶茶,103.834217,30.820548,四川省成都市郫都区释迦桥上街59号
奶茶的家,104.2806,30.562343,四川省成都市龙泉驿区酱园街13号
奶茶e族,103.996397,31.098215,四川省成都市彭州市敖平镇炭市巷7号
美美奶茶店,103.593779,30.791503,成都市崇州市育人街上元卫生院东侧约130米
倩妹奶茶店,103.99573,30.618782,成都市武侯区铁佛路7天酒店(簇桥店)南侧约40米
拾光奶茶,103.975632,30.627849,成都市武侯区凤翔路红苹果幼儿园东南侧约150米
一杯奶茶,103.989931,30.820241,四川省成都市郫都区千禧街与上河街交叉口东南200米
爱意奶茶,103.884736,30.90561,成都市郫都区唐太路四川省经济管理学校东侧约70米
相遇奶茶屋,103.95155,31.021664,彭州牡丹大道北三段674-684号附近
江小茶奶茶,103.816379,30.867074,成都市郫都区G213(成那线)绿城·川菜小镇美食街
遇见奶茶吧,103.945224,31.094113,四川省成都市彭州市楠杨社区东街33号
小二家奶茶店,103.653386,30.852646,四川省成都市都江堰市商业街31号
Hello奶茶,104.423519,30.48569,成都市简阳市中心街石盘街道初级中学西侧约110米
一加奶茶,103.959038,30.682301,四川成都市青羊区光华北七路208号
7港9奶茶店,103.825477,30.415875,四川省成都市新津区武阳南路47号附6号
叁茶奶茶店,104.181708,30.83262,四川省成都市新都区钟楼职业制造技术学校门口旁金都中学门口
茶肆奶茶,103.934162,30.512019,牧华路一段辅路空港花田
猫爪午后奶茶,103.93378,30.612161,四川省成都市双流区星空路三段星荟天地-二期西侧约100米
旭多多奶茶,103.926298,30.583373,四川省成都市双流区花月东街54号
CC奶茶屋,103.68827,30.308355,成都市邛崃市龙跃路回龙镇中心小学西南侧约250米
喝奶茶,104.008259,30.527922,成都市双流区泰华路与双华路三段交叉口北约160米
佳1度奶茶店,104.067711,30.82018,四川省成都市新都区复兴街131号
好时光奶茶,103.82654,30.416264,新津区武阳南路11号
茶亦茶奶茶,104.384808,30.282357,成都市简阳市新街四川简阳农村商业银行股份有限公司福田分理处东北侧
网吧台球奶茶,104.015676,30.574598,成都市双流区顺风路蓝光空港国际城-一期
青回奶茶店,104.552978,30.415538,成都市简阳市东升路诚卓·园中苑B区
相约奶茶店,104.384843,30.283075,四川省成都市简阳市福星街6870号
避风堂奶茶,103.631707,30.739271,成都市崇州市元通古镇文化街48号
虹之约奶茶,104.290954,30.888033,四川省成都市青白江区凤祥大道1266号蝴蝶洲三期1316号
香蜜奶茶,104.014327,30.551758,成都市双流区文化街百家苑二期西北侧约40米
喔喔奶茶,103.939593,30.594255,四川省成都市双流区商学街38号
快乐奶茶店,104.009666,30.727031,成都市金牛区金科西路东原亲亲里
香达克汉堡奶茶(花牌坊店),104.056491,30.684334,四川省成都市金牛区交通巷花牌坊36号附5号
奶茶,104.565056,30.720135,四川省成都市金堂县鲤鱼桥街114号
汉堡奶茶,104.074134,30.778559,成都市新都区赵家寺路圣采泊尚-西区
